# started_at=2025-12-14T01:53:18+03:00
# cmd: mpstat -P ALL 1
# app_pid=1101786

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

01:53:18 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:53:19 AM  all   33.94    0.33   13.11    0.83    0.00    0.08    0.00    0.00    0.00   51.70
01:53:19 AM    0   47.52    0.99   11.88    0.99    0.00    0.99    0.00    0.00    0.00   37.62
01:53:19 AM    1   25.00    0.00   11.00    1.00    0.00    0.00    0.00    0.00    0.00   63.00
01:53:19 AM    2   47.47    0.00   15.15    1.01    0.00    0.00    0.00    0.00    0.00   36.36
01:53:19 AM    3   30.48    0.95    7.62    0.95    0.00    0.00    0.00    0.00    0.00   60.00
01:53:19 AM    4   34.69    0.00   20.41    0.00    0.00    0.00    0.00    0.00    0.00   44.90
01:53:19 AM    5   23.23    0.00    9.09    1.01    0.00    0.00    0.00    0.00    0.00   66.67
01:53:19 AM    6   34.65    0.00   16.83    0.99    0.00    0.00    0.00    0.00    0.00   47.52
01:53:19 AM    7   19.00    1.00    8.00    1.00    0.00    0.00    0.00    0.00    0.00   71.00
01:53:19 AM    8   27.27    1.01   14.14    1.01    0.00    0.00    0.00    0.00    0.00   56.57
01:53:19 AM    9   23.76    0.00   15.84    0.99    0.00    0.00    0.00    0.00    0.00   59.41
01:53:19 AM   10   61.22    0.00   13.27    0.00    0.00    0.00    0.00    0.00    0.00   25.51
01:53:19 AM   11   33.65    0.00   14.42    0.96    0.00    0.00    0.00    0.00    0.00   50.96

01:53:19 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:53:20 AM  all   44.96    0.34   21.11    0.77    0.00    0.00    0.00    0.00    0.00   32.82
01:53:20 AM    0   50.00    0.00   15.62    1.04    0.00    0.00    0.00    0.00    0.00   33.33
01:53:20 AM    1   30.00    0.00   25.00    2.00    0.00    0.00    0.00    0.00    0.00   43.00
01:53:20 AM    2   43.00    1.00   17.00    1.00    0.00    0.00    0.00    0.00    0.00   38.00
01:53:20 AM    3   40.62    1.04   18.75    0.00    0.00    0.00    0.00    0.00    0.00   39.58
01:53:20 AM    4   41.67    0.00   23.96    0.00    0.00    0.00    0.00    0.00    0.00   34.38
01:53:20 AM    5   62.11    0.00    8.42    1.05    0.00    0.00    0.00    0.00    0.00   28.42
01:53:20 AM    6   36.36    1.01   25.25    1.01    0.00    0.00    0.00    0.00    0.00   36.36
01:53:20 AM    7   36.73    0.00   19.39    0.00    0.00    0.00    0.00    0.00    0.00   43.88
01:53:20 AM    8   30.30    0.00   42.42    1.01    0.00    0.00    0.00    0.00    0.00   26.26
01:53:20 AM    9   61.86    0.00   23.71    1.03    0.00    0.00    0.00    0.00    0.00   13.40
01:53:20 AM   10   42.27    0.00   16.49    1.03    0.00    0.00    0.00    0.00    0.00   40.21
01:53:20 AM   11   65.98    1.03   16.49    0.00    0.00    0.00    0.00    0.00    0.00   16.49

01:53:20 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:53:21 AM  all   45.44    0.17   10.90    0.59    0.00    0.00    0.00    0.00    0.00   42.91
01:53:21 AM    0   60.20    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   30.61
01:53:21 AM    1   34.69    1.02   11.22    2.04    0.00    0.00    0.00    0.00    0.00   51.02
01:53:21 AM    2   44.33    0.00   12.37    1.03    0.00    0.00    0.00    0.00    0.00   42.27
01:53:21 AM    3   29.59    0.00   12.24    1.02    0.00    0.00    0.00    0.00    0.00   57.14
01:53:21 AM    4   52.53    0.00    4.04    1.01    0.00    0.00    0.00    0.00    0.00   42.42
01:53:21 AM    5   37.76    0.00    7.14    1.02    0.00    0.00    0.00    0.00    0.00   54.08
01:53:21 AM    6   40.40    0.00    7.07    1.01    0.00    0.00    0.00    0.00    0.00   51.52
01:53:21 AM    7   76.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   12.00
01:53:21 AM    8   32.99    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   57.73
01:53:21 AM    9   48.48    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   41.41
01:53:21 AM   10   55.00    1.00   18.00    0.00    0.00    0.00    0.00    0.00    0.00   26.00
01:53:21 AM   11   32.67    0.00   17.82    0.00    0.00    0.00    0.00    0.00    0.00   49.50

01:53:21 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:53:22 AM  all   35.80    0.25   12.13    0.34    0.00    0.00    0.00    0.00    0.00   51.47
01:53:22 AM    0   51.52    0.00   14.14    0.00    0.00    0.00    0.00    0.00    0.00   34.34
01:53:22 AM    1   22.68    1.03   14.43    0.00    0.00    0.00    0.00    0.00    0.00   61.86
01:53:22 AM    2   48.51    0.00   16.83    0.99    0.00    0.00    0.00    0.00    0.00   33.66
01:53:22 AM    3   26.73    0.99    8.91    0.00    0.00    0.00    0.00    0.00    0.00   63.37
01:53:22 AM    4   41.24    0.00   10.31    0.00    0.00    0.00    0.00    0.00    0.00   48.45
01:53:22 AM    5   32.99    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   61.86
01:53:22 AM    6   30.30    0.00   12.12    0.00    0.00    0.00    0.00    0.00    0.00   57.58
01:53:22 AM    7   72.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   16.00
01:53:22 AM    8   21.88    0.00    4.17    1.04    0.00    0.00    0.00    0.00    0.00   72.92
01:53:22 AM    9   41.18    0.00    7.84    0.98    0.00    0.00    0.00    0.00    0.00   50.00
01:53:22 AM   10   18.37    1.02   23.47    1.02    0.00    0.00    0.00    0.00    0.00   56.12
01:53:22 AM   11   21.00    0.00   16.00    0.00    0.00    0.00    0.00    0.00    0.00   63.00

01:53:22 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:53:23 AM  all   54.12    0.17   15.13    0.92    0.00    0.00    0.00    0.00    0.00   29.66
01:53:23 AM    0   58.33    0.00   16.67    0.00    0.00    0.00    0.00    0.00    0.00   25.00
01:53:23 AM    1   54.00    1.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   33.00
01:53:23 AM    2   43.30    1.03   16.49    1.03    0.00    0.00    0.00    0.00    0.00   38.14
01:53:23 AM    3   58.16    0.00   10.20    1.02    0.00    0.00    0.00    0.00    0.00   30.61
01:53:23 AM    4   58.00    0.00   21.00    1.00    0.00    0.00    0.00    0.00    0.00   20.00
01:53:23 AM    5   54.00    0.00   24.00    2.00    0.00    0.00    0.00    0.00    0.00   20.00
01:53:23 AM    6   63.73    0.00   17.65    0.00    0.00    0.00    0.00    0.00    0.00   18.63
01:53:23 AM    7   48.48    0.00   16.16    2.02    0.00    0.00    0.00    0.00    0.00   33.33
01:53:23 AM    8   73.20    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   17.53
01:53:23 AM    9   50.51    0.00   10.10    1.01    0.00    0.00    0.00    0.00    0.00   38.38
01:53:23 AM   10   39.22    0.00   14.71    1.96    0.00    0.00    0.00    0.00    0.00   44.12
01:53:23 AM   11   49.00    0.00   13.00    1.00    0.00    0.00    0.00    0.00    0.00   37.00

01:53:23 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:53:24 AM  all   53.70    0.50   15.46    0.08    0.00    0.00    0.00    0.00    0.00   30.25
01:53:24 AM    0   32.65    2.04   25.51    0.00    0.00    0.00    0.00    0.00    0.00   39.80
01:53:24 AM    1   38.00    1.00   19.00    1.00    0.00    0.00    0.00    0.00    0.00   41.00
01:53:24 AM    2   60.40    0.00   10.89    0.00    0.00    0.00    0.00    0.00    0.00   28.71
01:53:24 AM    3   84.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00    7.00
01:53:24 AM    4   44.79    0.00   19.79    0.00    0.00    0.00    0.00    0.00    0.00   35.42
01:53:24 AM    5   45.10    0.00   24.51    0.00    0.00    0.00    0.00    0.00    0.00   30.39
01:53:24 AM    6   53.06    1.02    8.16    0.00    0.00    0.00    0.00    0.00    0.00   37.76
01:53:24 AM    7   54.55    2.02    7.07    0.00    0.00    0.00    0.00    0.00    0.00   36.36
01:53:24 AM    8   62.38    0.00   21.78    0.00    0.00    0.00    0.00    0.00    0.00   15.84
01:53:24 AM    9   62.89    0.00   20.62    0.00    0.00    0.00    0.00    0.00    0.00   16.49
01:53:24 AM   10   55.10    0.00   10.20    0.00    0.00    0.00    0.00    0.00    0.00   34.69
01:53:24 AM   11   51.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00   40.00

01:53:24 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:53:25 AM  all   43.89    0.68   11.71    0.51    0.00    0.00    0.00    0.00    0.00   43.21
01:53:25 AM    0   36.84    1.05    9.47    1.05    0.00    0.00    0.00    0.00    0.00   51.58
