# started_at=2025-12-14T01:53:18+03:00
# cmd: pidstat -u -t -p 1101786 1
# app_pid=1101786

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

01:53:18 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:53:19 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     6  app_linux_amd64
01:53:19 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:19 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:19 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:19 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:19 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:20 AM 174209043   1101786         -    0.00    1.00    0.00    0.00    1.00     4  app_linux_amd64
01:53:20 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:20 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:20 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:20 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:20 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     2  |__app_linux_amd64
01:53:21 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     6  app_linux_amd64
01:53:21 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:21 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:21 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:21 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     5  |__app_linux_amd64
01:53:21 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     9  |__app_linux_amd64
01:53:22 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00    10  app_linux_amd64
01:53:22 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:22 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     8  |__app_linux_amd64
01:53:22 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:22 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:22 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:23 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00    11  app_linux_amd64
01:53:23 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00    11  |__app_linux_amd64
01:53:23 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     5  |__app_linux_amd64
01:53:23 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:23 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00    11  |__app_linux_amd64
01:53:23 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     2  |__app_linux_amd64
01:53:24 AM 174209043   1101786         -    0.00    0.00    0.00    1.00    0.00     1  app_linux_amd64
01:53:24 AM 174209043         -   1101786    0.00    1.00    0.00    1.00    1.00     1  |__app_linux_amd64
01:53:24 AM 174209043         -   1101788    0.00    0.00    0.00    1.00    0.00    11  |__app_linux_amd64
01:53:24 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:24 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     0  |__app_linux_amd64
01:53:24 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:25 AM 174209043   1101786         -    0.00    1.00    0.00    0.00    1.00     2  app_linux_amd64
01:53:25 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     2  |__app_linux_amd64
01:53:25 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     2  |__app_linux_amd64
01:53:25 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:25 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     0  |__app_linux_amd64
01:53:25 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:26 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     9  app_linux_amd64
01:53:26 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     9  |__app_linux_amd64
01:53:26 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:26 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:26 AM 174209043         -   1101791    1.00    0.00    0.00    0.00    1.00     0  |__app_linux_amd64
01:53:26 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:27 AM 174209043   1101786         -    1.00    0.00    0.00    0.00    1.00     3  app_linux_amd64
01:53:27 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:27 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:27 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:27 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     2  |__app_linux_amd64
01:53:27 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     0  |__app_linux_amd64
01:53:28 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     9  app_linux_amd64
01:53:28 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     9  |__app_linux_amd64
01:53:28 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     2  |__app_linux_amd64
01:53:28 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:28 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:28 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:29 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     4  app_linux_amd64
01:53:29 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:29 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00    11  |__app_linux_amd64
01:53:29 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:29 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     9  |__app_linux_amd64
01:53:29 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:30 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     4  app_linux_amd64
01:53:30 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:30 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:30 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:30 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     0  |__app_linux_amd64
01:53:30 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:31 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     5  app_linux_amd64
01:53:31 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     5  |__app_linux_amd64
01:53:31 AM 174209043         -   1101788    0.00    1.00    0.00    1.00    1.00     8  |__app_linux_amd64
01:53:31 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:31 AM 174209043         -   1101791    0.00    0.00    0.00    1.00    0.00     8  |__app_linux_amd64
01:53:31 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:32 AM 174209043   1101786         -    1.00    1.00    0.00    0.00    2.00     0  app_linux_amd64
01:53:32 AM 174209043         -   1101786    0.00    1.00    0.00    0.00    1.00     0  |__app_linux_amd64
01:53:32 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:32 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:32 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     7  |__app_linux_amd64
01:53:32 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:33 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     4  app_linux_amd64
01:53:33 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:33 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     8  |__app_linux_amd64
01:53:33 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:33 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     8  |__app_linux_amd64
01:53:33 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:34 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     7  app_linux_amd64
01:53:34 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     7  |__app_linux_amd64
01:53:34 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00    11  |__app_linux_amd64
01:53:34 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:34 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     0  |__app_linux_amd64
01:53:34 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00    11  |__app_linux_amd64
01:53:35 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     5  app_linux_amd64
01:53:35 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     5  |__app_linux_amd64
01:53:35 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     5  |__app_linux_amd64
01:53:35 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:35 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:35 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00    11  |__app_linux_amd64
01:53:36 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     4  app_linux_amd64
01:53:36 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:36 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     8  |__app_linux_amd64
01:53:36 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:36 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:36 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00    11  |__app_linux_amd64
01:53:37 AM 174209043   1101786         -    0.00    1.00    0.00    0.00    1.00    10  app_linux_amd64
01:53:37 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:37 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:37 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:37 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:37 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00    11  |__app_linux_amd64
01:53:38 AM 174209043   1101786         -    1.00    0.00    0.00    0.00    1.00     9  app_linux_amd64
01:53:38 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     9  |__app_linux_amd64
01:53:38 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:38 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:38 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     8  |__app_linux_amd64
01:53:38 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:39 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     4  app_linux_amd64
01:53:39 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     6  |__app_linux_amd64
01:53:39 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     4  |__app_linux_amd64
01:53:39 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:39 AM 174209043         -   1101791    0.00    0.00    0.00    0.00    0.00     7  |__app_linux_amd64
01:53:39 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00    10  |__app_linux_amd64
01:53:40 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     9  app_linux_amd64
01:53:40 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     9  |__app_linux_amd64
01:53:40 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:40 AM 174209043         -   1101789    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:40 AM 174209043         -   1101791    0.00    1.00    0.00    0.00    1.00     7  |__app_linux_amd64
01:53:40 AM 174209043         -   1101792    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
01:53:41 AM 174209043   1101786         -    0.00    0.00    0.00    0.00    0.00     9  app_linux_amd64
01:53:41 AM 174209043         -   1101786    0.00    0.00    0.00    0.00    0.00     9  |__app_linux_amd64
01:53:41 AM 174209043         -   1101788    0.00    0.00    0.00    0.00    0.00     3  |__app_linux_amd64
