# started_at=2025-12-14T01:53:18+03:00
# cmd: pidstat -w -t -p 1101786 1
# app_pid=1101786

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

01:53:18 AM   UID      TGID       TID   cswch/s nvcswch/s  Command
01:53:19 AM 174209043   1101786         -     25.00      1.00  app_linux_amd64
01:53:19 AM 174209043         -   1101786     25.00      1.00  |__app_linux_amd64
01:53:19 AM 174209043         -   1101788    113.00      1.00  |__app_linux_amd64
01:53:19 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:19 AM 174209043         -   1101791     10.00      0.00  |__app_linux_amd64
01:53:19 AM 174209043         -   1101792     14.00      1.00  |__app_linux_amd64
01:53:20 AM 174209043   1101786         -     23.00      3.00  app_linux_amd64
01:53:20 AM 174209043         -   1101786     23.00      3.00  |__app_linux_amd64
01:53:20 AM 174209043         -   1101788    100.00      0.00  |__app_linux_amd64
01:53:20 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:20 AM 174209043         -   1101791     23.00      0.00  |__app_linux_amd64
01:53:20 AM 174209043         -   1101792      4.00      0.00  |__app_linux_amd64
01:53:21 AM 174209043   1101786         -     30.00      5.00  app_linux_amd64
01:53:21 AM 174209043         -   1101786     30.00      5.00  |__app_linux_amd64
01:53:21 AM 174209043         -   1101788     87.00      0.00  |__app_linux_amd64
01:53:21 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:21 AM 174209043         -   1101791     25.00      2.00  |__app_linux_amd64
01:53:21 AM 174209043         -   1101792      4.00      0.00  |__app_linux_amd64
01:53:22 AM 174209043   1101786         -     31.00      2.00  app_linux_amd64
01:53:22 AM 174209043         -   1101786     31.00      2.00  |__app_linux_amd64
01:53:22 AM 174209043         -   1101788    164.00      0.00  |__app_linux_amd64
01:53:22 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:22 AM 174209043         -   1101791     22.00      0.00  |__app_linux_amd64
01:53:22 AM 174209043         -   1101792      3.00      0.00  |__app_linux_amd64
01:53:23 AM 174209043   1101786         -     17.00      0.00  app_linux_amd64
01:53:23 AM 174209043         -   1101786     17.00      0.00  |__app_linux_amd64
01:53:23 AM 174209043         -   1101788     71.00      0.00  |__app_linux_amd64
01:53:23 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:23 AM 174209043         -   1101791     23.00      0.00  |__app_linux_amd64
01:53:23 AM 174209043         -   1101792      2.00      0.00  |__app_linux_amd64
01:53:24 AM 174209043   1101786         -     23.00      2.00  app_linux_amd64
01:53:24 AM 174209043         -   1101786     23.00      2.00  |__app_linux_amd64
01:53:24 AM 174209043         -   1101788    132.00      0.00  |__app_linux_amd64
01:53:24 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
