# started_at=2025-12-14T01:53:18+03:00
# cmd: sar -b 1
# app_pid=1101786

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

01:53:18 AM       tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
01:53:19 AM    129.00      0.00    129.00      0.00      0.00   1808.00      0.00
01:53:20 AM    946.00      0.00    946.00      0.00      0.00  13816.00      0.00
01:53:21 AM    116.00      0.00    116.00      0.00      0.00   1544.00      0.00
01:53:22 AM     61.00      0.00     61.00      0.00      0.00    704.00      0.00
01:53:23 AM    192.00      0.00    192.00      0.00      0.00   2504.00      0.00
01:53:24 AM    118.00      0.00    118.00      0.00      0.00   1464.00      0.00
01:53:25 AM    321.00      0.00    321.00      0.00      0.00   3336.00      0.00
01:53:26 AM     52.00      0.00     52.00      0.00      0.00    712.00      0.00
01:53:27 AM     58.00      0.00     58.00      0.00      0.00   1008.00      0.00
01:53:28 AM    107.00      0.00    107.00      0.00      0.00   1544.00      0.00
01:53:29 AM    134.00      0.00    134.00      0.00      0.00  14824.00      0.00
01:53:30 AM     77.00      0.00     77.00      0.00      0.00   1056.00      0.00
01:53:31 AM    339.00      0.00    339.00      0.00      0.00   3424.00      0.00
01:53:32 AM     35.00      0.00     35.00      0.00      0.00    512.00      0.00
01:53:33 AM     76.00      0.00     76.00      0.00      0.00   1184.00      0.00
01:53:34 AM    101.00      0.00    101.00      0.00      0.00   1344.00      0.00
01:53:35 AM     63.00      0.00     63.00      0.00      0.00    864.00      0.00
01:53:36 AM    290.00      0.00    290.00      0.00      0.00   2800.00      0.00
01:53:37 AM     42.00      0.00     42.00      0.00      0.00    656.00      0.00
01:53:38 AM     53.00      0.00     53.00      0.00      0.00    720.00      0.00
01:53:39 AM    176.00      0.00    176.00      0.00      0.00   2016.00      0.00
01:53:40 AM     69.00      0.00     69.00      0.00      0.00    776.00      0.00
01:53:41 AM   1140.00      0.00   1140.00      0.00      0.00  19296.00      0.00
01:53:42 AM     72.00      0.00     72.00      0.00      0.00   1040.00      0.00
01:53:43 AM     54.00      0.00     54.00      0.00      0.00    688.00      0.00
01:53:44 AM     49.00      0.00     49.00      0.00      0.00    760.00      0.00
01:53:45 AM     99.00      0.00     99.00      0.00      0.00   1296.00      0.00
01:53:46 AM   1069.00      0.00   1069.00      0.00      0.00  19176.00      0.00
01:53:47 AM    304.00      0.00    304.00      0.00      0.00   2968.00      0.00
01:53:48 AM     65.00      0.00     65.00      0.00      0.00    848.00      0.00
01:53:49 AM     75.00      0.00     75.00      0.00      0.00   1080.00      0.00
01:53:50 AM    218.00      0.00    218.00      0.00      0.00   3080.00      0.00
01:53:51 AM     53.00      0.00     53.00      0.00      0.00    720.00      0.00
01:53:52 AM    398.00      0.00    398.00      0.00      0.00   4520.00      0.00
01:53:53 AM     73.00      0.00     73.00      0.00      0.00    960.00      0.00
01:53:54 AM     38.00      0.00     38.00      0.00      0.00    456.00      0.00
01:53:55 AM     38.00      0.00     38.00      0.00      0.00    688.00      0.00
01:53:56 AM     88.00      0.00     88.00      0.00      0.00   1160.00      0.00
01:53:57 AM    309.00      0.00    309.00      0.00      0.00   3752.00      0.00
01:53:58 AM   1655.00      0.00   1655.00      0.00      0.00  35448.00      0.00
01:53:59 AM     59.00      0.00     59.00      0.00      0.00    880.00      0.00
01:54:00 AM     81.00      0.00     81.00      0.00      0.00   1400.00      0.00
01:54:01 AM     38.00      0.00     38.00      0.00      0.00    408.00      0.00
01:54:02 AM     99.00      0.00     99.00      0.00      0.00   1400.00      0.00
01:54:03 AM    325.00      0.00    325.00      0.00      0.00   3136.00      0.00
01:54:04 AM     56.00      0.00     56.00      0.00      0.00    704.00      0.00
01:54:05 AM     80.00      0.00     80.00      0.00      0.00   1232.00      0.00
01:54:06 AM     64.00      0.00     64.00      0.00      0.00    912.00      0.00
01:54:07 AM     53.00      0.00     53.00      0.00      0.00    736.00      0.00
01:54:08 AM     76.00      0.00     76.00      0.00      0.00   1112.00      0.00
01:54:09 AM    306.00      0.00    306.00      0.00      0.00   3088.00      0.00
01:54:10 AM     96.00      0.00     96.00      0.00      0.00   1896.00      0.00
01:54:11 AM     50.00      0.00     50.00      0.00      0.00    568.00      0.00
01:54:12 AM     49.00      0.00     49.00      0.00      0.00    680.00      0.00
01:54:13 AM    153.00      0.00    153.00      0.00      0.00   9936.00      0.00
01:54:14 AM    515.00      0.00    515.00      0.00      0.00  10328.00      0.00
