# started_at=2025-12-14T01:53:18+03:00
# cmd: sar -B 1
# app_pid=1101786

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

01:53:18 AM  pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
01:53:19 AM      0.00    908.00  82951.00      0.00  69479.00      0.00      0.00      0.00      0.00
01:53:20 AM      0.00   6912.00 119916.00      0.00 122767.00      0.00      0.00      0.00      0.00
01:53:21 AM      0.00    816.00 116627.00      0.00 116913.00      0.00      0.00      0.00      0.00
01:53:22 AM      0.00    384.00 102531.00      0.00  51865.00      0.00      0.00      0.00      0.00
01:53:23 AM      0.00   1264.00 107008.00      0.00 152148.00      0.00      0.00      0.00      0.00
01:53:24 AM      0.00    652.00  92333.00      0.00  94812.00      0.00      0.00      0.00      0.00
01:53:25 AM      0.00   1748.00  93602.00      0.00  94235.00      0.00      0.00      0.00      0.00
01:53:26 AM      0.00    356.00  91954.00      0.00 125294.00      0.00      0.00      0.00      0.00
01:53:27 AM      0.00    504.00 106257.00      0.00  86829.00      0.00      0.00      0.00      0.00
01:53:28 AM      0.00    772.00  99856.00      0.00 120805.00      0.00      0.00      0.00      0.00
01:53:29 AM      0.00   7392.00  96025.00      0.00  88186.00      0.00      0.00      0.00      0.00
01:53:30 AM      0.00    516.00  85133.00      0.00 110141.00      0.00      0.00      0.00      0.00
01:53:31 AM      0.00   1744.00  88533.00      0.00  91186.00      0.00      0.00      0.00      0.00
01:53:32 AM      0.00    224.00 107070.00      0.00 114192.00      0.00      0.00      0.00      0.00
01:53:33 AM      0.00    624.00 101131.00      0.00 137925.00      0.00      0.00      0.00      0.00
01:53:34 AM      0.00    672.00 113752.00      0.00  97056.00      0.00      0.00      0.00      0.00
01:53:35 AM      0.00    380.00 122537.00      0.00 110902.00      0.00      0.00      0.00      0.00
01:53:36 AM      0.00   1428.00 147615.00      0.00 123439.00      0.00      0.00      0.00      0.00
01:53:37 AM      0.00    352.00 114647.00      0.00  98033.00      0.00      0.00      0.00      0.00
01:53:38 AM      0.00    360.00 131401.00      0.00 147195.00      0.00      0.00      0.00      0.00
01:53:39 AM      0.00    984.00 138951.00      0.00 151763.00      0.00      0.00      0.00      0.00
01:53:40 AM      0.00    400.00 113903.00      0.00  99937.00      0.00      0.00      0.00      0.00
01:53:41 AM      0.00   9660.00 118804.00      0.00 122244.00      0.00      0.00      0.00      0.00
01:53:42 AM      0.00    520.00 133075.00      0.00 116738.00      0.00      0.00      0.00      0.00
01:53:43 AM      0.00    332.00 106179.00      0.00 123356.00      0.00      0.00      0.00      0.00
01:53:44 AM      0.00    392.00 117770.00      0.00 110431.00      0.00      0.00      0.00      0.00
01:53:45 AM      0.00    624.00 117169.00      0.00 108629.00      0.00      0.00      0.00      0.00
01:53:46 AM      0.00   9588.00 142384.00      0.00 121608.00      0.00      0.00      0.00      0.00
01:53:47 AM      0.00   1456.00  94133.00      0.00 109256.00      0.00      0.00      0.00      0.00
01:53:48 AM      0.00    476.00 132662.00      0.00  83958.00      0.00      0.00      0.00      0.00
01:53:49 AM      0.00    528.00 133939.00      0.00 323009.00      0.00      0.00      0.00      0.00
01:53:50 AM      0.00   1528.00 145900.00      0.00 127549.00      0.00      0.00      0.00      0.00
01:53:51 AM      0.00    384.00  99865.00      0.00 111309.00      0.00      0.00      0.00      0.00
01:53:52 AM      0.00   2260.00 128693.00      0.00 146636.00      0.00      0.00      0.00      0.00
01:53:53 AM      0.00    432.00 105678.00      0.00 107727.00      0.00      0.00      0.00      0.00
01:53:54 AM      0.00    264.00 128804.00      0.00  87070.00      0.00      0.00      0.00      0.00
01:53:55 AM      0.00    356.00 111545.00      0.00 118942.00      0.00      0.00      0.00      0.00
01:53:56 AM      0.00    580.00 102807.00      0.00 106109.00      0.00      0.00      0.00      0.00
01:53:57 AM      0.00   1876.00 127419.00      0.00 131383.00      0.00      0.00      0.00      0.00
01:53:58 AM      0.00  17724.00 124995.00      0.00 101007.00      0.00      0.00      0.00      0.00
01:53:59 AM      0.00    392.00  98666.00      0.00 103671.00      0.00      0.00      0.00      0.00
01:54:00 AM      0.00    748.00 122986.00      0.00 110967.00      0.00      0.00      0.00      0.00
01:54:01 AM      0.00    176.00 123870.00      0.00 122489.00      0.00      0.00      0.00      0.00
01:54:02 AM      0.00    716.00 116481.00      0.00 113374.00      0.00      0.00      0.00      0.00
01:54:03 AM      0.00   1580.00 127477.00      0.00 129223.00      0.00      0.00      0.00      0.00
01:54:04 AM      0.00    340.00 114462.00      0.00 113291.00      0.00      0.00      0.00      0.00
01:54:05 AM      0.00    628.00 113203.00      0.00  89915.00      0.00      0.00      0.00      0.00
01:54:06 AM      0.00    456.00 138120.00      0.00 327585.00      0.00      0.00      0.00      0.00
01:54:07 AM      0.00    348.00 134180.00      0.00 109147.00      0.00      0.00      0.00      0.00
01:54:08 AM      0.00    468.00 119152.00      0.00 116738.00      0.00      0.00      0.00      0.00
01:54:09 AM      0.00   1652.00 104727.00      0.00 113128.00      0.00      0.00      0.00      0.00
01:54:10 AM      0.00    864.00 112852.00      0.00 103610.00      0.00      0.00      0.00      0.00
01:54:11 AM      0.00    368.00 110405.00      0.00  86183.00      0.00      0.00      0.00      0.00
01:54:12 AM      0.00    340.00 106711.00      0.00  99765.00      0.00      0.00      0.00      0.00
01:54:13 AM      0.00    652.00 103914.00      0.00 123895.00      0.00      0.00      0.00      0.00
01:54:14 AM      0.00   9332.00 113507.00      0.00 102789.00      0.00      0.00      0.00      0.00
01:54:15 AM      0.00   9520.00 119997.00      0.00 121358.00      0.00      0.00      0.00      0.00
