# started_at=2025-12-14T01:53:18+03:00
# cmd: sar -q 1
# app_pid=1101786

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

01:53:18 AM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
01:53:19 AM        12      1770      4.75      4.65      4.34         0
01:53:20 AM         2      1770      4.75      4.65      4.34         0
01:53:21 AM         4      1766      4.75      4.65      4.34         0
01:53:22 AM         9      1765      4.75      4.65      4.34         0
01:53:23 AM         4      1771      4.75      4.65      4.34         0
01:53:24 AM         6      1774      4.77      4.66      4.34         1
01:53:25 AM         6      1765      4.77      4.66      4.34         0
01:53:26 AM        10      1766      4.77      4.66      4.34         0
01:53:27 AM        10      1765      4.77      4.66      4.34         0
01:53:28 AM         6      1769      4.77      4.66      4.34         0
01:53:29 AM         4      1766      5.43      4.79      4.39         0
01:53:30 AM         3      1763      5.43      4.79      4.39         0
01:53:31 AM         4      1765      5.43      4.79      4.39         0
01:53:32 AM         5      1764      5.43      4.79      4.39         0
01:53:33 AM         3      1764      5.43      4.79      4.39         0
01:53:34 AM         2      1763      5.87      4.90      4.43         0
01:53:35 AM        16      1765      5.87      4.90      4.43         0
01:53:36 AM         3      1763      5.87      4.90      4.43         0
01:53:37 AM        11      1764      5.87      4.90      4.43         0
01:53:38 AM         3      1767      5.87      4.90      4.43         0
01:53:39 AM         6      1767      5.64      4.87      4.42         1
01:53:40 AM         4      1763      5.64      4.87      4.42         0
01:53:41 AM         4      1764      5.64      4.87      4.42         0
01:53:42 AM         9      1770      5.64      4.87      4.42         0
01:53:43 AM         4      1765      5.64      4.87      4.42         0
01:53:44 AM         3      1765      6.71      5.10      4.50         0
01:53:45 AM         6      1776      6.71      5.10      4.50         0
01:53:46 AM         3      1763      6.71      5.10      4.50         1
01:53:47 AM         5      1762      6.71      5.10      4.50         0
01:53:48 AM         8      1762      6.71      5.10      4.50         0
01:53:49 AM         5      1762      7.38      5.27      4.55         0
01:53:50 AM         5      1794      7.38      5.27      4.55         1
01:53:51 AM         9      1782      7.38      5.27      4.55         0
01:53:52 AM         5      1767      7.38      5.27      4.55         0
01:53:53 AM         6      1769      7.38      5.27      4.55         1
01:53:54 AM         3      1765      6.95      5.21      4.54         0
01:53:55 AM        13      1765      6.95      5.21      4.54         0
01:53:56 AM        13      1765      6.95      5.21      4.54         0
01:53:57 AM         6      1765      6.95      5.21      4.54         0
01:53:58 AM        13      1767      6.95      5.21      4.54         0
01:53:59 AM        18      1767      6.95      5.24      4.55         0
01:54:00 AM        14      1770      6.95      5.24      4.55         0
01:54:01 AM         3      1764      6.95      5.24      4.55         0
01:54:02 AM         4      1767      6.95      5.24      4.55         0
01:54:03 AM        13      1769      6.95      5.24      4.55         0
01:54:04 AM         3      1765      7.04      5.29      4.57         0
01:54:05 AM        11      1766      7.04      5.29      4.57         0
01:54:06 AM         4      1767      7.04      5.29      4.57         0
01:54:07 AM         6      1766      7.04      5.29      4.57         0
01:54:08 AM         3      1762      7.04      5.29      4.57         0
01:54:09 AM         4      1762      7.59      5.43      4.62         0
01:54:10 AM        11      1768      7.59      5.43      4.62         0
01:54:11 AM         4      1761      7.59      5.43      4.62         0
01:54:12 AM         5      1761      7.59      5.43      4.62         0
01:54:13 AM         2      1762      7.59      5.43      4.62         0
01:54:14 AM         5      1791      8.11      5.57      4.67         0
01:54:15 AM         4      1780      8.11      5.57      4.67         0
01:54:16 AM         4      1782      8.11      5.57      4.67         0
01:54:17 AM        12      1772      8.11      5.57      4.67         0
01:54:18 AM         4      1766      8.11      5.57      4.67         0
01:54:19 AM        15      1767      7.86      5.56      4.68         0
01:54:20 AM        11      1768      7.86      5.56      4.68         0
01:54:21 AM        11      1766      7.86      5.56      4.68         0
01:54:22 AM         5      1765      7.86      5.56      4.68         0
01:54:23 AM         5      1765      7.86      5.56      4.68         0
01:54:24 AM        19      1767      7.47      5.52      4.67         0
01:54:25 AM         3      1766      7.47      5.52      4.67         0
01:54:26 AM         3      1765      7.47      5.52      4.67         0
01:54:27 AM        16      1772      7.47      5.52      4.67         0
01:54:28 AM         5      1767      7.47      5.52      4.67         0
01:54:29 AM         2      1767      6.95      5.45      4.65         0
01:54:30 AM         4      1764      6.95      5.45      4.65         0
01:54:31 AM        10      1767      6.95      5.45      4.65         0
01:54:32 AM        10      1769      6.95      5.45      4.65         0
01:54:33 AM         2      1764      6.95      5.45      4.65         0
01:54:34 AM         2      1765      6.87      5.45      4.65         0
01:54:35 AM        10      1775      6.87      5.45      4.65         0
01:54:36 AM         5      1782      6.87      5.45      4.65         0
01:54:37 AM         4      1783      6.87      5.45      4.65         0
01:54:38 AM         5      1771      6.87      5.45      4.65         0
01:54:39 AM         3      1767      7.20      5.55      4.69         0
01:54:40 AM         3      1767      7.20      5.55      4.69         0
01:54:41 AM         7      1768      7.20      5.55      4.69         0
01:54:42 AM         6      1770      7.20      5.55      4.69         0
01:54:43 AM         4      1769      7.20      5.55      4.69         0
01:54:44 AM         4      1774      7.27      5.59      4.71         0
01:54:45 AM         4      1769      7.27      5.59      4.71         0
01:54:46 AM         8      1775      7.27      5.59      4.71         1
01:54:47 AM         5      1771      7.27      5.59      4.71         0
01:54:48 AM        17      1769      7.27      5.59      4.71         0
01:54:49 AM         6      1768      6.93      5.54      4.70         0
01:54:50 AM         8      1771      6.93      5.54      4.70         0
01:54:51 AM         4      1768      6.93      5.54      4.70         1
01:54:52 AM         4      1769      6.93      5.54      4.70         0
01:54:53 AM         5      1773      6.93      5.54      4.70         0
01:54:54 AM         6      1767      6.77      5.54      4.70         0
01:54:55 AM         3      1768      6.77      5.54      4.70         0
01:54:56 AM         7      1767      6.77      5.54      4.70         0
01:54:57 AM         5      1767      6.77      5.54      4.70         0
01:54:58 AM         7      1786      6.77      5.54      4.70         0
01:54:59 AM         3      1768      6.95      5.59      4.72         0
01:55:00 AM         6      1771      6.95      5.59      4.72         0
01:55:01 AM         3      1765      6.95      5.59      4.72         0
01:55:02 AM         9      1763      6.95      5.59      4.72         1
01:55:03 AM         6      1782      6.95      5.59      4.72         0
