# started_at=2025-12-14T01:53:18+03:00
# cmd: vmstat 1
# app_pid=1101786

procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 10749536 1087176 8279352    0    0    15   133 1532 2556 16  6 78  0  0
17  1      0 10749536 1087176 8279352    0    0     0  7672 20381 35786 36 13 50  1  0
 4  0      0 10749536 1087176 8279352    0    0     0  7232 29128 58410 44 21 34  1  0
 5  0      0 10749536 1087176 8279352    0    0     0   708 21790 35072 46 11 43  1  0
11  0      0 10749536 1087176 8279352    0    0     0   504 22367 35539 37 12 50  0  0
14  0      0 10749536 1087176 8279352    0    0     0  1252 25794 43772 55 15 29  1  0
 5  0      0 10749536 1087176 8279352    0    0     0   312 24879 35696 53 15 31  0  0
11  0      0 10749536 1087176 8279352    0    0     0  1992 23849 37321 45 12 43  1  0
17  0      0 10749536 1087176 8279352    0    0     0   420 25475 49089 46 16 38  0  0
13  0      0 10749536 1087176 8279352    0    0     0   396 23220 31880 43 12 45  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   864 22651 39464 44 12 44  0  0
 7  1      0 10749536 1087176 8279352    0    0     0  7428 22669 36483 50 14 35  0  0
 7  0      0 10749536 1087176 8279352    0    0     0   344 21316 30901 49 11 40  0  0
 7  1      0 10749536 1087176 8279352    0    0     0  1904 23883 39050 49 14 37  1  0
 9  0      0 10749536 1087176 8279352    0    0     0   224 21568 33240 47 11 42  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   556 22533 40686 51 15 33  0  0
12  0      0 10749536 1087176 8279352    0    0     0   732 19067 31757 50 14 36  0  0
11  0      0 10749536 1087176 8279352    0    0     0   244 17671 28495 46  8 46  0  0
 4  0      0 10749536 1087176 8279352    0    0     0  1608 18737 36539 26 14 59  1  0
13  0      0 10749536 1087176 8279352    0    0     0   268 17094 33452 35 13 51  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   356 18558 26476 38  9 53  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
