# started_at=2025-12-14T19:04:55+03:00
# cmd: pidstat -d -p 7559 1
# app_pid=7559

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

07:04:55 PM   UID       PID   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:04:56 PM 174209043      7559    164.00     16.00      0.00       0  app_linux_amd64
07:04:57 PM 174209043      7559      0.00      4.00      0.00       0  app_linux_amd64
07:04:58 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
07:04:59 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:05:00 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:05:01 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:05:02 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:05:03 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:05:04 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:05:05 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:05:06 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:05:07 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:05:08 PM 174209043      7559      0.00      4.00      0.00       0  app_linux_amd64
07:05:09 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:05:10 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:05:11 PM 174209043      7559      0.00      0.00      0.00       0  app_linux_amd64
07:05:12 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:05:13 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:05:14 PM 174209043      7559      0.00      4.00      0.00       0  app_linux_amd64
07:05:15 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:05:16 PM 174209043      7559      0.00      4.00      0.00       0  app_linux_amd64
07:05:17 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:05:18 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:05:19 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:05:20 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:05:21 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:05:22 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
07:05:23 PM 174209043      7559      0.00      4.00      0.00       0  app_linux_amd64
07:05:24 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:05:25 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:05:26 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:05:27 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:05:28 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:05:29 PM 174209043      7559      0.00      0.00      0.00       0  app_linux_amd64
07:05:30 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:05:31 PM 174209043      7559      0.00      4.00      0.00       0  app_linux_amd64
07:05:32 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:05:33 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:05:34 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:05:35 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:05:36 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:05:37 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:05:38 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:05:39 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:05:40 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:05:41 PM 174209043      7559      0.00      4.00      0.00       0  app_linux_amd64
07:05:42 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:05:43 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:05:44 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:05:45 PM 174209043      7559      0.00      0.00      0.00       0  app_linux_amd64
07:05:46 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:05:47 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:05:48 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:05:49 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:05:50 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:05:51 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
