# started_at=2025-12-14T19:04:55+03:00
# cmd: sar -b 1
# app_pid=7559

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

07:04:55 PM       tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
07:04:56 PM   1013.00    724.00    289.00      0.00  75224.00   3712.00      0.00
07:04:57 PM    747.00    688.00     59.00      0.00  31968.00    848.00      0.00
07:04:58 PM    436.00    203.00    233.00      0.00   3224.00   3320.00      0.00
07:04:59 PM    145.00     43.00    102.00      0.00    912.00   1264.00      0.00
07:05:00 PM    967.00      2.00    965.00      0.00    304.00  35816.00      0.00
07:05:01 PM    131.00      1.00    130.00      0.00    256.00   1760.00      0.00
07:05:02 PM     67.00      4.00     63.00      0.00     32.00    904.00      0.00
07:05:03 PM     86.00      1.00     85.00      0.00    208.00   1064.00      0.00
07:05:04 PM     56.00      1.00     55.00      0.00    248.00    632.00      0.00
07:05:05 PM    146.00      0.00    146.00      0.00      0.00   1832.00      0.00
07:05:06 PM    110.00      0.00    110.00      0.00      0.00   1480.00      0.00
07:05:07 PM     46.00      0.00     46.00      0.00      0.00    480.00      0.00
07:05:08 PM     35.00      0.00     35.00      0.00      0.00    488.00      0.00
07:05:09 PM    318.00     67.00    251.00      0.00    560.00   3232.00      0.00
07:05:10 PM    322.00      0.00    322.00      0.00      0.00   3680.00      0.00
07:05:11 PM     60.00      0.00     60.00      0.00      0.00    864.00      0.00
07:05:12 PM     65.00      0.00     65.00      0.00      0.00    760.00      0.00
07:05:13 PM     49.00      0.00     49.00      0.00      0.00    648.00      0.00
07:05:14 PM     86.00     41.00     45.00      0.00    896.00    728.00      0.00
07:05:15 PM    192.00      1.00    191.00      0.00      8.00  14568.00      0.00
07:05:16 PM    133.00      0.00    133.00      0.00      0.00   1520.00      0.00
07:05:17 PM     68.00      0.00     68.00      0.00      0.00    752.00      0.00
07:05:18 PM     62.00      0.00     62.00      0.00      0.00    672.00      0.00
07:05:19 PM     47.00      0.00     47.00      0.00      0.00    496.00      0.00
07:05:20 PM     38.00      0.00     38.00      0.00      0.00    472.00      0.00
07:05:21 PM    146.00      0.00    146.00      0.00      0.00   1960.00      0.00
07:05:22 PM    110.00      0.00    110.00      0.00      0.00   1368.00      0.00
07:05:23 PM     57.00      0.00     57.00      0.00      0.00    664.00      0.00
07:05:24 PM     49.00      4.00     45.00      0.00    192.00    616.00      0.00
07:05:25 PM     33.00      0.00     33.00      0.00      0.00    480.00      0.00
07:05:26 PM    190.00      0.00    190.00      0.00      0.00   2336.00      0.00
07:05:27 PM    100.00      0.00    100.00      0.00      0.00   1128.00      0.00
07:05:28 PM     46.00      2.00     44.00      0.00    512.00    512.00      0.00
07:05:29 PM     16.00      0.00     16.00      0.00      0.00    200.00      0.00
07:05:30 PM     35.00      0.00     35.00      0.00      0.00    456.00      0.00
07:05:31 PM    478.00      0.00    478.00      0.00      0.00  35880.00      0.00
07:05:32 PM    135.00      1.00    134.00      0.00    160.00   1648.00      0.00
07:05:33 PM    121.00      0.00    121.00      0.00      0.00   1408.00      0.00
07:05:34 PM     43.00      0.00     43.00      0.00      0.00    560.00      0.00
07:05:35 PM     40.00      0.00     40.00      0.00      0.00    488.00      0.00
07:05:36 PM    138.00      0.00    138.00      0.00      0.00  14096.00      0.00
07:05:37 PM    134.00      0.00    134.00      0.00      0.00   1640.00      0.00
07:05:38 PM     85.00      0.00     85.00      0.00      0.00    848.00      0.00
07:05:39 PM     47.00      0.00     47.00      0.00      0.00    480.00      0.00
07:05:40 PM    244.00     79.00    165.00      0.00   5744.00   2200.00      0.00
07:05:41 PM    652.00    245.00    407.00      0.00  36624.00  43272.00      0.00
07:05:42 PM    877.00    254.00    623.00      0.00   6080.00  15200.00      0.00
07:05:43 PM    563.00     13.00    550.00      0.00    112.00   9768.00      0.00
07:05:44 PM    242.00      0.00    242.00      0.00      0.00   3064.00      0.00
07:05:45 PM    140.00     23.00    117.00      0.00    184.00   1448.00      0.00
07:05:46 PM    100.00      0.00    100.00      0.00      0.00   1360.00      0.00
07:05:47 PM    127.00      0.00    127.00      0.00      0.00   1448.00      0.00
07:05:48 PM    168.00      0.00    168.00      0.00      0.00   2320.00      0.00
07:05:49 PM     61.00      0.00     61.00      0.00      0.00    624.00      0.00
07:05:50 PM     52.00      0.00     52.00      0.00      0.00    632.00      0.00
07:05:51 PM    959.00      3.00    956.00      0.00    192.00  44760.00      0.00
07:05:52 PM    209.00      0.00    209.00      0.00      0.00   6008.00      0.00
07:05:53 PM    814.00    742.00     72.00      0.00 181040.00    992.00      0.00
07:05:54 PM     67.00      0.00     67.00      0.00      0.00   1736.00      0.00
07:05:55 PM     39.00      0.00     39.00      0.00      0.00    456.00      0.00
07:05:56 PM     52.00      0.00     52.00      0.00      0.00    704.00      0.00
07:05:57 PM     93.00      0.00     93.00      0.00      0.00   1256.00      0.00
07:05:58 PM    389.00      0.00    389.00      0.00      0.00 162160.00      0.00
