# started_at=2025-12-14T19:04:54+03:00
# cmd: sar -q 1
# app_pid=7559

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

07:04:55 PM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
07:04:56 PM         8      1145      3.77      1.10      0.38         1
07:04:57 PM         4      1142      3.77      1.10      0.38         0
07:04:58 PM         4      1089      3.77      1.10      0.38         0
07:04:59 PM         2      1085      3.55      1.10      0.39         0
07:05:00 PM         3      1086      3.55      1.10      0.39         0
07:05:01 PM         4      1084      3.55      1.10      0.39         0
07:05:02 PM         7      1085      3.55      1.10      0.39         1
07:05:03 PM         4      1097      3.55      1.10      0.39         0
07:05:04 PM         5      1084      3.34      1.10      0.39         0
07:05:05 PM         2      1081      3.34      1.10      0.39         0
07:05:06 PM         3      1080      3.34      1.10      0.39         0
07:05:07 PM         4      1080      3.34      1.10      0.39         0
07:05:08 PM         3      1083      3.34      1.10      0.39         0
07:05:09 PM         5      1083      3.23      1.11      0.40         1
07:05:10 PM         2      1083      3.23      1.11      0.40         0
07:05:11 PM         4      1082      3.23      1.11      0.40         0
07:05:12 PM         5      1087      3.23      1.11      0.40         0
07:05:13 PM         3      1081      3.23      1.11      0.40         0
07:05:14 PM         4      1081      3.05      1.11      0.40         0
07:05:15 PM         2      1084      3.05      1.11      0.40         0
07:05:16 PM         4      1086      3.05      1.11      0.40         0
07:05:17 PM         4      1086      3.05      1.11      0.40         1
07:05:18 PM         3      1083      3.05      1.11      0.40         0
07:05:19 PM         3      1083      2.89      1.11      0.41         0
07:05:20 PM         7      1088      2.89      1.11      0.41         0
07:05:21 PM         4      1085      2.89      1.11      0.41         0
07:05:22 PM         3      1082      2.89      1.11      0.41         0
07:05:23 PM         2      1082      2.89      1.11      0.41         0
07:05:24 PM         3      1085      2.74      1.11      0.41         0
07:05:25 PM         5      1088      2.74      1.11      0.41         0
07:05:26 PM         3      1085      2.74      1.11      0.41         0
07:05:27 PM         2      1085      2.74      1.11      0.41         0
07:05:28 PM         3      1085      2.74      1.11      0.41         0
07:05:29 PM         5      1090      2.60      1.11      0.41         0
07:05:30 PM         3      1088      2.60      1.11      0.41         0
07:05:31 PM         3      1085      2.60      1.11      0.41         0
07:05:32 PM         3      1084      2.60      1.11      0.41         0
07:05:33 PM         3      1084      2.60      1.11      0.41         0
07:05:34 PM         2      1087      2.55      1.12      0.42         0
07:05:35 PM         2      1084      2.55      1.12      0.42         0
07:05:36 PM         1      1084      2.55      1.12      0.42         0
07:05:37 PM         2      1084      2.55      1.12      0.42         0
07:05:38 PM         3      1089      2.55      1.12      0.42         0
07:05:39 PM         2      1084      2.51      1.14      0.43         0
07:05:40 PM         6      1108      2.51      1.14      0.43         0
07:05:41 PM         2      1117      2.51      1.14      0.43         0
07:05:42 PM         5      1122      2.51      1.14      0.43         1
07:05:43 PM         5      1129      2.51      1.14      0.43         0
07:05:44 PM         3      1123      2.47      1.15      0.44         0
07:05:45 PM         3      1126      2.47      1.15      0.44         0
07:05:46 PM         3      1125      2.47      1.15      0.44         0
07:05:47 PM         2      1119      2.47      1.15      0.44         0
07:05:48 PM         2      1119      2.47      1.15      0.44         0
07:05:49 PM         2      1119      2.35      1.15      0.44         0
07:05:50 PM         2      1120      2.35      1.15      0.44         1
07:05:51 PM         3      1120      2.35      1.15      0.44         4
07:05:52 PM         2      1120      2.35      1.15      0.44         0
07:05:53 PM         2      1118      2.35      1.15      0.44         0
07:05:54 PM         2      1118      2.56      1.21      0.47         0
07:05:55 PM         3      1120      2.56      1.21      0.47         0
07:05:56 PM         2      1115      2.56      1.21      0.47         0
07:05:57 PM         2      1116      2.56      1.21      0.47         0
07:05:58 PM         4      1119      2.56      1.21      0.47         0
07:05:59 PM         4      1119      2.35      1.19      0.46         0
07:06:00 PM         2      1116      2.35      1.19      0.46         0
07:06:01 PM         2      1115      2.35      1.19      0.46         0
07:06:02 PM         2      1115      2.35      1.19      0.46         0
07:06:03 PM         4      1153      2.35      1.19      0.46         1
07:06:04 PM         4      1152      2.33      1.20      0.47         0
07:06:05 PM         2      1126      2.33      1.20      0.47         0
