# started_at=2025-12-14T19:04:54+03:00
# cmd: vmstat 1
# app_pid=7559

procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  2      0 24494308 205836 2962860    0    0  3448   240 1995 2853 15  5 77  3  0
12  1      0 24494308 205836 2962860    0    0 42364  1776 84376 76017 25 12 60  3  0
 3  0      0 24494308 205836 2962860    0    0 16044   660 49682 105028 31  8 59  2  0
 9  0      0 24494308 205836 2962860    0    0  1620  1660 23387 39929 18  5 75  2  0
 2  0      0 24494308 205836 2962860    0    0   516   604 14865 24679 12  4 83  1  0
 3  0      0 24494308 205836 2962860    0    0   152 17936 18468 33114  9  4 84  2  0
 3  0      0 24494308 205836 2962860    0    0     0   844 19171 28378  9  5 85  1  0
 2  0      0 24494308 205836 2962860    0    0   144   324 15406 29380 11  3 86  0  0
 2  0      0 24494308 205836 2962860    0    0     0   640 18736 27317 12  4 83  1  0
 4  0      0 24494308 205836 2962860    0    0   228   372 15458 27335 10  4 86  1  0
 2  0      0 24494308 205836 2962860    0    0     0   724 16617 32875 11  4 85  0  0
 2  0      0 24494308 205836 2962860    0    0     0   932 17483 30496 10  5 85  1  0
 2  0      0 24494308 205836 2962860    0    0     0   240 12516 21519  8  3 89  0  0
 3  0      0 24494308 205836 2962860    0    0     0   232 13672 25014  9  4 87  0  0
 2  0      0 24494308 205836 2962860    0    0   280  1592 14378 24571  9  4 86  1  0
 4  0      0 24494308 205836 2962860    0    0     0  1844 13975 24439  8  4 88  1  0
 1  0      0 24494308 205836 2962860    0    0     0   440 12377 21427  8  3 89  0  0
 4  0      0 24494308 205836 2962860    0    0     0   332 17032 27923 14  4 81  0  0
 2  0      0 24494308 205836 2962860    0    0     0   396 12841 22739  9  4 87  0  0
 2  0      0 24494308 205836 2962860    0    0   448   364 15132 28463  8  5 87  0  0
 2  0      0 24494308 205836 2962860    0    0     4   288 11905 19866  8  4 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1      0 24494308 205836 2962860    0    0     0  7424 16994 25433  9  3 87  1  0
 4  1      0 24494308 205836 2962860    0    0     0   668 11541 18555  8  3 89  0  0
 2  0      0 24494308 205836 2962860    0    0     0   376 13326 22610  8  4 88  0  0
 4  0      0 24494308 205836 2962860    0    0     0   224 12304 21085  7  4 88  0  0
 2  0      0 24494308 205836 2962860    0    0     0   236 11699 19428  8  3 89  0  0
 2  0      0 24494308 205836 2962860    0    0     0  1004 12917 21589  8  4 87  0  0
 2  0      0 24494308 205836 2962860    0    0     0   684 12343 20535  8  4 88  0  0
 2  0      0 24494308 205836 2962860    0    0     0   332 12688 21692  8  5 87  0  0
 2  0      0 24494308 205836 2962860    0    0    96   308 13092 21690  8  4 87  0  0
 3  0      0 24494308 205836 2962860    0    0     0   228 12280 21091  7  4 89  0  0
 2  0      0 24494308 205836 2962860    0    0     0   500 13689 21120  8  4 87  1  0
 2  0      0 24494308 205836 2962860    0    0     0  1152 12363 21719  8  5 87  0  0
 3  0      0 24494308 205836 2962860    0    0   256   324 12880 21926  8  3 89  0  0
 2  0      0 24494308 205836 2962860    0    0     0   100 10763 18391  7  3 89  0  0
 2  0      0 24494308 205836 2962860    0    0     0   252 12253 19000  8  3 88  0  0
 2  0      0 24494308 205836 2962860    0    0     0 17928 13743 23245  8  5 87  0  0
 2  0      0 24494308 205836 2962860    0    0    80   836 13648 22599  8  4 88  0  0
 3  0      0 24494308 205836 2962860    0    0     0   704 12167 20666  8  3 88  0  0
 4  0      0 24494308 205836 2962860    0    0     0   280 13313 21914  8  5 87  0  0
 3  0      0 24494308 205836 2962860    0    0     0   244 13907 18464  9  4 86  0  0
 5  0      0 24494308 205836 2962860    0    0     0  7032 15770 24782  9  4 87  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  1      0 24494308 205836 2962860    0    0     0   836 12411 21451  8  4 88  0  0
 7  0      0 24494308 205836 2962860    0    0     0   388 11836 19781  8  2 90  0  0
 2  0      0 24494308 205836 2962860    0    0     0   276 10826 17436  8  3 88  0  0
 3  0      0 24494308 205836 2962860    0    0  2872  1048 20638 48223 11  5 83  1  0
 4  0      0 24494308 205836 2962860    0    0 18312 21688 32696 105170 15  8 75  2  0
 3  1      0 24494308 205836 2962860    0    0  3040  7420 21996 52671 13  4 81  1  0
 6  0      0 24494308 205836 2962860    0    0    56  4924 30286 84847 18  7 73  2  0
 3  0      0 24494308 205836 2962860    0    0     0  1672 27204 70460 21  6 72  1  0
 2  0      0 24494308 205836 2962860    0    0    92   504 18200 35718 13  3 83  1  0
 3  0      0 24494308 205836 2962860    0    0     0   876 15661 27594  8  4 87  1  0
 2  0      0 24494308 205836 2962860    0    0     0   588 13431 25313  8  3 89  0  0
 2  0      0 24494308 205836 2962860    0    0     0  1268 14286 24463  8  4 87  1  0
 1  0      0 24494308 205836 2962860    0    0     0   324 12845 21892  7  3 90  0  0
 2  0      0 24494308 205836 2962860    0    0     0   304 12906 21607  8  4 88  0  0
 3  9      0 24494308 205836 2962860    0    0    96 20632 17395 30523  9  4 85  2  0
 2  0      0 24494308 205836 2962860    0    0     0  4788 13746 23189  8  4 86  2  0
 2  0      0 24494308 205836 2962860    0    0 90520   512 16852 30741 11  6 82  1  0
 2  0      0 24494308 205836 2962860    0    0     0   868 13438 23300  8  4 88  1  0
 4  0      0 24494308 205836 2962860    0    0     0   196 10957 18145  8  3 89  0  0
 2  0      0 24494308 205836 2962860    0    0     0   384 21964 24396  9  6 85  0  0
 2  0      0 24494308 205836 2962860    0    0     0   628 12884 22191  8  4 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 24494308 205836 2962860    0    0     0 81068 13484 21656  8  5 86  1  0
 2  0      0 24494308 205836 2962860    0    0     0   152 11544 19060  8  4 88  0  0
 2  0      0 24494308 205836 2962860    0    0     0   248 15110 20712 10  4 86  1  0
 2  0      0 24494308 205836 2962860    0    0     0   244 13186 22152  8  4 88  0  0
 9  0      0 24494308 205836 2962860    0    0     0   744 14677 26847 10  6 84  0  0
 4  1      0 24494308 205836 2962860    0    0 14048  1100 23836 56381 16  8 72  4  0
 6  0      0 24494308 205836 2962860    0    0  1648   360 12171 20408 11  4 84  1  0
 2  0      0 24494308 205836 2962860    0    0   128   508 16391 30504  9  7 83  1  0
 2  0      0 24494308 205836 2962860    0    0     0   456 13868 22806 10  5 84  1  0
 2  1      0 24494308 205836 2962860    0    0     0  2108 15391 26282  9  5 86  1  0
 2  0      0 24494308 205836 2962860    0    0     0   608 14590 27396  9  5 86  1  0
 3  0      0 24494308 205836 2962860    0    0   260  1308 18702 33624 15  4 79  2  0
 3  0      0 24494308 205836 2962860    0    0    48  2204 31456 75334 14  7 75  4  0
 6  1      0 24494308 205836 2962860    0    0     0  1132 19526 37143 11  5 83  2  0
 3  1      0 24494308 205836 2962860    0    0     4 12576 19593 36923  8  4 77 11  0
 2  0      0 24494308 205836 2962860    0    0     4  1544 15683 35014  8  5 86  1  0
 5  0      0 24494308 205836 2962860    0    0     0   504 14184 26876 10  5 84  1  0
 2  0      0 24494308 205836 2962860    0    0     0 12620 18578 38269 10  6 79  5  0
 2  0      0 24494308 205836 2962860    0    0     0   444 12798 19866 11  4 84  1  0
 2  0      0 24494308 205836 2962860    0    0     0   820 17654 30900 10  6 82  2  0
 2  0      0 24494308 205836 2962860    0    0     0   948 12217 19593  8  4 87  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 24494308 205836 2962860    0    0     0   180 11872 17761  8  3 88  0  0
 3  0      0 24494308 205836 2962860    0    0     0   492 13996 24883  8  5 86  1  0
 6  0      0 24494308 205836 2962860    0    0     0   220 12800 20773 10  4 85  0  0
 3  0      0 24494308 205836 2962860    0    0     0 13204 15263 29286  9  5 85  1  0
 2  0      0 24494308 205836 2962860    0    0     0   560 12571 19013 10  4 86  0  0
 3  1      0 24494308 205836 2962860    0    0     0   688 16014 29156  8  5 87  1  0
 3  0      0 24494308 205836 2962860    0    0   780   736 17513 33657 11  6 83  1  0
 2  0      0 24494308 205836 2962860    0    0  1404   440 18450 26008 13  4 83  0  0
 4  0      0 24494308 205836 2962860    0    0   400  8420 24870 40119 11  6 82  1  0
