# started_at=2025-12-14T19:04:54+03:00
# cmd: mpstat -P ALL 1
# app_pid=7559

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

07:04:54 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:04:55 PM  all   25.36    0.00   11.70    2.97    0.00    0.00    0.00    0.00    0.00   59.97
07:04:55 PM    0   40.00    0.00   12.63    3.16    0.00    0.00    0.00    0.00    0.00   44.21
07:04:55 PM    1   20.79    0.00   20.79    0.99    0.00    0.00    0.00    0.00    0.00   57.43
07:04:55 PM    2   22.22    0.00   11.11    2.02    0.00    0.00    0.00    0.00    0.00   64.65
07:04:55 PM    3   24.49    0.00    9.18    2.04    0.00    0.00    0.00    0.00    0.00   64.29
07:04:55 PM    4   33.68    0.00    6.32    2.11    0.00    0.00    0.00    0.00    0.00   57.89
07:04:55 PM    5   28.57    0.00   10.20    2.04    0.00    0.00    0.00    0.00    0.00   59.18
07:04:55 PM    6   17.35    0.00   18.37    3.06    0.00    0.00    0.00    0.00    0.00   61.22
07:04:55 PM    7   27.45    0.00   12.75    5.88    0.00    0.00    0.00    0.00    0.00   53.92
07:04:55 PM    8   21.00    0.00    9.00    6.00    0.00    0.00    0.00    0.00    0.00   64.00
07:04:55 PM    9   17.53    0.00    6.19    2.06    0.00    0.00    0.00    0.00    0.00   74.23
07:04:55 PM   10   29.29    0.00   14.14    4.04    0.00    0.00    0.00    0.00    0.00   52.53
07:04:55 PM   11   22.68    0.00    9.28    2.06    0.00    0.00    0.00    0.00    0.00   65.98

07:04:55 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:04:56 PM  all   30.73    0.00    7.72    1.87    0.00    0.34    0.00    0.00    0.00   59.34
07:04:56 PM    0   43.56    0.00    2.97    1.98    0.00    1.98    0.00    0.00    0.00   49.50
07:04:56 PM    1   22.68    0.00    7.22    2.06    0.00    2.06    0.00    0.00    0.00   65.98
07:04:56 PM    2   29.79    0.00    7.45    1.06    0.00    0.00    0.00    0.00    0.00   61.70
07:04:56 PM    3   14.14    0.00    6.06    1.01    0.00    0.00    0.00    0.00    0.00   78.79
07:04:56 PM    4   31.31    0.00    7.07    2.02    0.00    0.00    0.00    0.00    0.00   59.60
07:04:56 PM    5   30.61    0.00   11.22    3.06    0.00    0.00    0.00    0.00    0.00   55.10
07:04:56 PM    6   31.63    0.00    9.18    2.04    0.00    0.00    0.00    0.00    0.00   57.14
07:04:56 PM    7   28.00    0.00    9.00    3.00    0.00    0.00    0.00    0.00    0.00   60.00
07:04:56 PM    8   25.51    0.00   10.20    2.04    0.00    0.00    0.00    0.00    0.00   62.24
07:04:56 PM    9   24.24    0.00    9.09    2.02    0.00    0.00    0.00    0.00    0.00   64.65
07:04:56 PM   10   37.89    0.00    6.32    1.05    0.00    0.00    0.00    0.00    0.00   54.74
07:04:56 PM   11   49.00    0.00    7.00    1.00    0.00    0.00    0.00    0.00    0.00   43.00

07:04:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:04:57 PM  all   17.61    0.08    5.17    1.61    0.00    0.08    0.00    0.00    0.00   75.44
07:04:57 PM    0    9.18    0.00    5.10    0.00    0.00    1.02    0.00    0.00    0.00   84.69
07:04:57 PM    1   10.00    0.00   14.00    0.00    0.00    0.00    0.00    0.00    0.00   76.00
07:04:57 PM    2    7.22    0.00    3.09    1.03    0.00    0.00    0.00    0.00    0.00   88.66
07:04:57 PM    3    8.00    0.00    6.00    3.00    0.00    0.00    0.00    0.00    0.00   83.00
07:04:57 PM    4   16.67    0.00    6.25    1.04    0.00    0.00    0.00    0.00    0.00   76.04
07:04:57 PM    5   45.92    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   51.02
07:04:57 PM    6   13.27    0.00    3.06    1.02    0.00    0.00    0.00    0.00    0.00   82.65
07:04:57 PM    7    6.06    0.00    3.03    8.08    0.00    0.00    0.00    0.00    0.00   82.83
07:04:57 PM    8   26.73    0.00    3.96    1.98    0.00    0.00    0.00    0.00    0.00   67.33
07:04:57 PM    9    7.07    1.01    4.04    0.00    0.00    0.00    0.00    0.00    0.00   87.88
07:04:57 PM   10   30.00    0.00    4.00    2.00    0.00    0.00    0.00    0.00    0.00   64.00
07:04:57 PM   11   31.58    0.00    6.32    1.05    0.00    0.00    0.00    0.00    0.00   61.05

07:04:57 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:04:58 PM  all   11.83    0.00    2.98    0.66    0.00    1.32    0.00    0.00    0.00   83.21
07:04:58 PM    0    6.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
07:04:58 PM    1    2.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:04:58 PM    2   12.75    0.00   10.78    0.98    0.00    0.98    0.00    0.00    0.00   74.51
07:04:58 PM    3    3.85    0.00    0.00    0.00    0.00    4.81    0.00    0.00    0.00   91.35
07:04:58 PM    4   18.18    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   78.79
07:04:58 PM    5   10.20    0.00    1.02    2.04    0.00    0.00    0.00    0.00    0.00   86.73
07:04:58 PM    6   45.45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   54.55
07:04:58 PM    7    0.00    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   97.98
07:04:58 PM    8   19.19    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   74.75
07:04:58 PM    9   15.69    0.00    2.94    0.00    0.00    0.00    0.00    0.00    0.00   81.37
07:04:58 PM   10    9.90    0.00    1.98    0.99    0.00    2.97    0.00    0.00    0.00   84.16
07:04:58 PM   11    0.00    0.00    3.77    1.89    0.00    6.60    0.00    0.00    0.00   87.74

07:04:58 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:04:59 PM  all    8.99    0.00    3.95    2.02    0.00    0.67    0.00    0.00    0.00   84.37
07:04:59 PM    0    4.04    0.00    5.05    2.02    0.00    0.00    0.00    0.00    0.00   88.89
07:04:59 PM    1    4.00    0.00    6.00    0.00    0.00    1.00    0.00    0.00    0.00   89.00
07:04:59 PM    2    4.04    0.00    5.05    5.05    0.00    1.01    0.00    0.00    0.00   84.85
07:04:59 PM    3    1.92    0.00    1.92    2.88    0.00    4.81    0.00    0.00    0.00   88.46
07:04:59 PM    4    2.06    0.00    4.12    1.03    0.00    0.00    0.00    0.00    0.00   92.78
07:04:59 PM    5    5.10    0.00    3.06    3.06    0.00    0.00    0.00    0.00    0.00   88.78
07:04:59 PM    6    8.16    0.00    5.10    2.04    0.00    0.00    0.00    0.00    0.00   84.69
07:04:59 PM    7   20.20    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   75.76
07:04:59 PM    8    7.00    0.00    6.00    1.00    0.00    0.00    0.00    0.00    0.00   86.00
07:04:59 PM    9    1.00    0.00    4.00    4.00    0.00    0.00    0.00    0.00    0.00   91.00
07:04:59 PM   10   50.00    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   48.96
07:04:59 PM   11    2.00    0.00    2.00    3.00    0.00    1.00    0.00    0.00    0.00   92.00

07:04:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:05:00 PM  all    9.34    0.00    4.25    1.00    0.00    0.67    0.00    0.00    0.00   84.74
07:05:00 PM    0    2.00    0.00   11.00    2.00    0.00    1.00    0.00    0.00    0.00   84.00
07:05:00 PM    1    4.85    0.00    3.88    0.97    0.00    2.91    0.00    0.00    0.00   87.38
07:05:00 PM    2    2.06    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   94.85
07:05:00 PM    3    1.01    0.00    1.01    2.02    0.00    0.00    0.00    0.00    0.00   95.96
07:05:00 PM    4    6.06    0.00    6.06    1.01    0.00    0.00    0.00    0.00    0.00   86.87
07:05:00 PM    5    0.99    0.00    5.94    3.96    0.00    0.00    0.00    0.00    0.00   89.11
07:05:00 PM    6   17.82    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   77.23
07:05:00 PM    7    6.80    0.00    3.88    0.97    0.00    0.00    0.00    0.00    0.00   88.35
07:05:00 PM    8    4.12    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   91.75
07:05:00 PM    9   50.00    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   45.92
07:05:00 PM   10   14.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   83.00
07:05:00 PM   11    2.97    0.00    1.98    0.99    0.00    1.98    0.00    0.00    0.00   92.08

07:05:00 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:05:01 PM  all   10.53    0.00    2.92    0.33    0.00    0.33    0.00    0.00    0.00   85.88
07:05:01 PM    0    2.02    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   94.95
07:05:01 PM    1    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
07:05:01 PM    2    6.06    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   90.91
07:05:01 PM    3    4.12    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   92.78
07:05:01 PM    4    8.16    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   85.71
07:05:01 PM    5    6.80    0.00    0.00    0.00    0.00    1.94    0.00    0.00    0.00   91.26
07:05:01 PM    6   58.59    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   39.39
07:05:01 PM    7    4.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   94.00
07:05:01 PM    8    9.90    0.00    7.92    0.00    0.00    0.00    0.00    0.00    0.00   82.18
07:05:01 PM    9   11.11    0.00    5.05    1.01    0.00    0.00    0.00    0.00    0.00   82.83
07:05:01 PM   10    6.86    0.00    2.94    1.96    0.00    0.00    0.00    0.00    0.00   88.24
07:05:01 PM   11    7.84    0.00    0.00    0.98    0.00    0.98    0.00    0.00    0.00   90.20

07:05:01 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:05:02 PM  all   11.98    0.00    3.58    0.75    0.00    0.67    0.00    0.00    0.00   83.03
07:05:02 PM    0   10.89    0.00    3.96    0.00    0.00    1.98    0.00    0.00    0.00   83.17
07:05:02 PM    1    4.95    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   93.07
07:05:02 PM    2    7.14    0.00    3.06    1.02    0.00    1.02    0.00    0.00    0.00   87.76
07:05:02 PM    3    8.91    0.00    6.93    1.98    0.00    0.00    0.00    0.00    0.00   82.18
07:05:02 PM    4   37.86    0.00    3.88    0.00    0.00    1.94    0.00    0.00    0.00   56.31
07:05:02 PM    5    3.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:05:02 PM    6   10.20    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   85.71
07:05:02 PM    7   23.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   71.00
07:05:02 PM    8    6.19    0.00    4.12    4.12    0.00    0.00    0.00    0.00    0.00   85.57
07:05:02 PM    9    5.94    0.00    0.99    0.00    0.00    1.98    0.00    0.00    0.00   91.09
07:05:02 PM   10   14.85    0.00    2.97    0.99    0.00    0.00    0.00    0.00    0.00   81.19
07:05:02 PM   11    9.90    0.00    1.98    0.99    0.00    0.99    0.00    0.00    0.00   86.14

07:05:02 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:05:03 PM  all    9.98    0.00    3.41    0.58    0.00    0.58    0.00    0.00    0.00   85.45
07:05:03 PM    0   46.53    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   51.49
07:05:03 PM    1   23.53    0.00    3.92    0.00    0.00    0.00    0.00    0.00    0.00   72.55
07:05:03 PM    2    9.38    0.00    6.25    0.00    0.00    0.00    0.00    0.00    0.00   84.38
07:05:03 PM    3    7.41    0.00    3.70    0.00    0.00    5.56    0.00    0.00    0.00   83.33
07:05:03 PM    4    2.04    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   91.84
07:05:03 PM    5    0.99    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   97.03
07:05:03 PM    6    4.04    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   89.90
07:05:03 PM    7    3.92    0.00    3.92    0.98    0.00    0.00    0.00    0.00    0.00   91.18
07:05:03 PM    8    6.12    0.00    2.04    1.02    0.00    0.00    0.00    0.00    0.00   90.82
07:05:03 PM    9    2.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   96.00
07:05:03 PM   10    7.14    0.00    2.04    1.02    0.00    0.00    0.00    0.00    0.00   89.80
07:05:03 PM   11    6.00    0.00    4.00    2.00    0.00    0.00    0.00    0.00    0.00   88.00

07:05:03 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:05:04 PM  all   10.92    0.00    3.56    0.34    0.00    0.34    0.00    0.00    0.00   84.84
07:05:04 PM    0    9.18    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   88.78
07:05:04 PM    1   17.35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   82.65
07:05:04 PM    2   32.32    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   59.60
07:05:04 PM    3    4.04    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   91.92
07:05:04 PM    4    9.28    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   87.63
07:05:04 PM    5   17.53    0.00    2.06    1.03    0.00    0.00    0.00    0.00    0.00   79.38
07:05:04 PM    6   13.59    0.00    4.85    0.00    0.00    2.91    0.00    0.00    0.00   78.64
07:05:04 PM    7    6.12    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   91.84
07:05:04 PM    8    8.08    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   84.85
07:05:04 PM    9    3.09    0.00    4.12    1.03    0.00    0.00    0.00    0.00    0.00   91.75
07:05:04 PM   10    6.12    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   89.80
07:05:04 PM   11    4.08    0.00    2.04    2.04    0.00    0.00    0.00    0.00    0.00   91.84

07:05:04 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:05:05 PM  all    9.80    0.00    3.85    0.67    0.00    0.50    0.00    0.00    0.00   85.18
07:05:05 PM    0    3.12    0.00    2.08    2.08    0.00    0.00    0.00    0.00    0.00   92.71
07:05:05 PM    1    6.19    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   91.75
07:05:05 PM    2   33.01    0.00    0.97    0.00    0.00    3.88    0.00    0.00    0.00   62.14
07:05:05 PM    3    1.03    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00   97.94
07:05:05 PM    4    2.08    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   96.88
07:05:05 PM    5   37.25    0.00    3.92    0.00    0.00    0.00    0.00    0.00    0.00   58.82
07:05:05 PM    6    4.00    0.00   10.00    1.00    0.00    0.00    0.00    0.00    0.00   85.00
07:05:05 PM    7   15.84    0.00    7.92    0.00    0.00    0.00    0.00    0.00    0.00   76.24
07:05:05 PM    8    3.00    0.00    5.00    1.00    0.00    0.00    0.00    0.00    0.00   91.00
07:05:05 PM    9    2.97    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   91.09
07:05:05 PM   10    2.97    0.00    6.93    1.98    0.00    0.99    0.00    0.00    0.00   87.13
07:05:05 PM   11    4.00    0.00    0.00    1.00    0.00    1.00    0.00    0.00    0.00   94.00

07:05:05 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:05:06 PM  all    8.08    0.00    2.50    0.42    0.00    0.58    0.00    0.00    0.00   88.42
07:05:06 PM    0    2.97    0.00    2.97    1.98    0.00    0.00    0.00    0.00    0.00   92.08
07:05:06 PM    1    0.99    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   96.04
07:05:06 PM    2    9.00    0.00   10.00    0.00    0.00    1.00    0.00    0.00    0.00   80.00
07:05:06 PM    3    2.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   96.00
07:05:06 PM    4    1.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   96.00
