# started_at=2025-12-14T19:04:55+03:00
# /proc/softirqs snapshots

### ts=2025-12-14T19:04:55+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          0          0          0          0          0          0          1        110          0          0         23         32          0          0          0          0
       TIMER:       2149       1825       1400       1360       1336       1085       1510       1000       1292       1285       1751       1780          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:        214         87         79        114        125         83       1667        184        136         66        102        109          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:          5          1          1          1          9          2         59       5819          0        131        193        713          0          0          0          0
       SCHED:      16913      17170      15547      15216      15048      14407      14740      13660      14447      13401      15119      14301          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      17327      14775      16209      13559      16238      13999      16648      13654      15751      15457      16422      13693          0          0          0          0

### ts=2025-12-14T19:05:00+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          0          0          0          0          0          0          1        110          0          0         23         32          0          0          0          0
       TIMER:       2316       1979       1582       1471       1429       1162       1625       1072       1418       1336       1848       1874          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:        232        105         87        132        142        103       1829        201        151         87        112        124          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:          5          1          1          1          9          2         59       5819          0        131        193        727          0          0          0          0
       SCHED:      18090      18389      16713      16455      16267      15497      15856      14815      15586      14540      16211      15434          0          0          0          0
